name,objective,objective2,Phase,Phase2
Field Test Advancements,Win a combat in which 2 of your surviving units are of different unit types whose unit upgrades you own.,Have a unit whose unit upgrade you own in each of 5 systems not in or adjacent to your home system.,Action,Status
Fight with Precision,Destroy the last of a player's fighters in the active system during the anti-fighter barrage step.,Have a unit with ANTI-FIGHTER BARRAGE in each of 8 systems.,Action,Status
Focus Advancements,Control 2 planets with the same technology specialty.,Control 4 planets with the same technology specialty.,Status,Status
Forge an Alliance,Control 4 cultural planets.,Control 7 cultural planets.,Status,Status
Forge Daring Culture,Control 3 hazardous planets and 3 cultural planets.,Control 5 hazardous planets and 5 cultural planets.,Status,Status
Forgive Debts,Return 3 promissory notes from your hand to the hands of their original owners.,Return 6 promissory notes from your hand to the hands of their original owners.,Status,Status
Foster Cohesion,Be neighbors with all other players.,Reveal from your hand or have in your play area a promissory note from each other player.,Status,Status
Fuel Industrial Machine,Control 3 hazardous planets and 3 industrial planets.,Control 5 hazardous planets and 5 industrial planets.,Status,Status
Fuel War Machine,Have 3 space docks on the game board.,Have 6 non-fighter ships in each of 3 systems that contain your space docks.,Status,Status
Gather a Mighty Fleet,Have 5 dreadnoughts on the game board.,Have 5 dreadnoughts and 8 cruisers on the game board.,Status,Status
Hoard Raw Materials,Control planets that have a combined resource value of at least 12.,Control planets that have a combined resource value of at least 24.,Status,Status
Industrialize Culture,Control 3 cultural planets and 3 industrial planets.,Control 5 cultural planets and 5 industrial planets.,Status,Status
Learn the Cosmos' Secrets,Have 1 or more units in 4 systems that are each in or adjacent to an anomaly.,Have 1 or more units in 8 systems that are each in or adjacent to an anomaly.,Status,Status
Lend Aid,Another player used the effect of 1 of your promissory notes.,Give a combination of 12 trade goods and/or promissory notes from your hand to players that are your neighbor.,Agenda,Status
Make an Example of their World,Destroy the last of a player's ground forces on a planet during the bombardment step.,Have a unit with Bombardment in each of 3 systems that contain a planet another player controls with no infantry.,Action,Status
Master Archaeology,Own at least 2 relics.,Own at least 4 relics.,Status,Status
Master Biotics,"Control a green technology specialty planet, 2 green technologies, and at least 1 unit upgrade technology with at least 1 green prerequisite.","Control 2 green technology specialty planets, 3 green technologies, and at least 2 unit upgrade technologies with at least 1 green prerequisite.",Status,Status
Master Cybernetics,"Control a yellow technology specialty planet, 2 yellow technologies, and at least 1 unit upgrade technology with at least 1 yellow prerequisite.","Control 2 yellow technology specialty planets, 3 yellow technologies, and at least 2 unit upgrade technologies with at least 1 yellow prerequisite.",Status,Status
Master Propulsion,"Control a blue technology specialty planet, 2 blue technologies, and at least 1 unit upgrade technology with at least 1 blue prerequisite.","Control 2 blue technology specialty planets, 3 blue technologies, and at least 2 unit upgrade technologies with at least 1 blue prerequisite.",Status,Status
Master the Laws of Physics,Own 4 technologies of the same color.,Own 6 technologies of the same color.,Status,Status
Master Warfare,"Control a red technology specialty planet, 2 red technologies, and at least 1 unit upgrade technology with at least 1 red prerequisite.","Control 2 red technology specialty planets, 3 red technologies, and at least 2 unit upgrade technologies with at least 1 red prerequisite.",Status,Status
Mechanize the Military,Have 1 mech on each of 4 planets.,Have 1 mech on each of 4 planets and at least 4 infantry on each of 4 different planets.,Status,Status
Mine Rare Minerals,Control 4 hazardous planets.,Control 7 hazardous planets.,Status,Status
Monopolize Production,Control 4 industrial planets.,Control 7 industrial planets.,Status,Status
No Witnesses,Win a space combat in a system that contains no planets.,Remove 4 of your ground forces from the space area of each of 4 systems that contain no planets.,Action,Status
Occupy the Fringe,Have 9 or more ground forces on a planet that does not contain 1 of your space docks.,Have 9 or more ground forces on 2 planets that do not contain 1 of your space docks.,Status,Status
Occupy the Seat of the Empire,Control Mecatol Rex and have 3 or more ships in its system.,Control Mecatol Rex and have 8 or more non-fighter ships in its system.,Status,Status
Overpowering Defense,Have at least 7 units on the game board with SUSTAIN DAMAGE.,Have at least 10 unit with SUSTAIN DAMAGE in systems that are not in or adjacent to your home system.,Status,Status
Overrun Defenses,Win a ground combat on a planet that contained another player's PDS at the start of the combat.,Have a ship in each of 4 systems that contain other players' PDS.,Action,Status
Patrol The Far Reaches,Have 4 Destroyers in each of 2 systems that are not in or adjacent to your home system.,Have 4 combined cruisers and/or destroyers in each of 4 systems that are not in or adjacent to your home system.,Status,Status
Prioritize Speed,Have 8 cruisers on the game board.,"Have 8 cruisers on the game board that are not in or adjacent to your home system, own your cruiser unit upgrade, and own Gravity Drive.",Status,Status
Produce en Masse,Have units with a combined Production value of at least 8 in a single system.,Have units with a combined Production value of at least 8 in or adjacent to another player's home system.,Status,Status
Prove Endurance,Be the last player to pass during a game round.,Be the last player to pass and spend 3 command tokens from your tactic pool.,Action,Action
Punish Heretics,Win a combat against a player with the most relics; minimum 1.,Control a planet in the home system of another player with the most relics.,Action,Status
Punish the Weak,Win a combat against a player with the least victory points.,Control a planet in the home system of another player with the least points.,Action,Status
Rebel Against Political Elites,Win a combat against a player that owns an elect player law.,Control a planet in the home system of another player that owns an elect player law.,Action,Status
Recruit A Large Army,Have 20 infantry on the game board.,Have 45 infantry on the game board.,Status,Status
Seize an Icon,Control a legendary planet.,Control 2 legendary planets.,Status,Status
Settle Spacetime's Edge,Control 3 planets that are each in or adjacent to a system containing a wormhole.,Control 6 planets that are each in or adjacent to a system containing a wormhole.,Status,Status
Settle the Frontier,Control 3 planets that are in or adjacent to an anomaly.,Control 6 planets that are in or adjacent to an anomaly.,Status,Status
Show of Strength,Have at least 1 ship in each of 2 systems that contain a planet another player controls.,Have at least 1 ship in each of 4 systems that contain a planet another player controls.,Status,Status
Show the Council Your Strength,Win a combat in the Mecatol Rex system.,Have at least 10 ground forces on Mecatol Rex.,Action,Status
Spark a Rebellion,Win a combat against a player who has the most victory points.,Control a planet in the home system of another player with the most victory points.,Action,Status
Spread Influence,Have 1 or more units in each of at least 8 systems.,Have 1 or more units in each of at least 13 systems.,Status,Status
Stake Your Claim,Control a planet in a system that contains a planet controlled by another player.,Control a planet in each of 2 systems that contain a planet controlled by another player.,Status,Status
Study the Symbols,Have a unit in or adjacent to at least 3 systems that contain a legendary planet or Mecatol Rex.,Have a unit in or adjacent to at least 6 systems that contain a legendary planet or Mecatol Rex.,Status,Status
Study Their Defenses,Have ships in each of 2 systems that are in or adjacent to systems that contain other player's PDS.,Have ships in each of 6 systems that are in or adjacent to systems that contain other player's PDS.,Status,Status
Study Their Supply Chain,Have ships in each of 2 systems that are in or adjacent to systems that contain other player's space docks.,Have ships in each of 6 systems that are in or adjacent to systems that contain other player's space docks.,Status,Status
Take Research Facility,Control a planet with a technology specialty adjacent to another player's home system.,Control 2 planets with technology specialties adjacent to other players' home systems.,Status,Status
Take Their Minerals,Win a ground combat on a hazardous planet.,Control 4 hazardous planets that are not adjacent to your home system.,Action,Status
Threaten Enemies,Have 1 or more ships in a system that is adjacent to another player's home system.,Have 3 or more non-fighter ships in each of 2 systems adjacent to different other player's home systems.,Status,Status
Turn Their Fleets to Dust,Destroy the last of a player's non-fighter ships in the active system during the space cannon offense step.,Have more non-fighter ships on the game board than each of 2 players that are your neighbor combined.,Action,Status
Undercut Their Industry,Win a ground combat on an industrial planet.,Control 4 industrial planets that are not adjacent to your home system.,Action,Status
Undermine Their Culture,Win a ground combat on a cultural planet.,Control 4 cultural planets that are not adjacent to your home system.,Action,Status
Unflappable Command,Have no command tokens in your reinforcements.,Have no command tokens in your reinforcements and at least 5 readied planets.,Status,Status
Unseat the False King,Take control of Mecatol Rex when it was controlled by another player.,Control the home system of another player that controls Mecatol Rex.,Action,Status
Unveil Flagship,Win a space combat in a system that contains your flagship. You cannot score this objective if your flagship is destroyed in the combat.,Have your flagship in another players home system.,Action,Status
Usurp Industrial Power,Control an industrial planet adjacent to another player's home system.,Control an industrial planet in each of 2 systems adjacent to other players' home systems.,Status,Status
Weaken the Powerful,Win a combat against a player that controls the most planets.,Control a planet in the home system of another player that controls the most planets.,Action,Status
Fortify Riches,Have a structure on each of 3 planets with at least 3 resources.,Have a structure on each of 3 planets with at least 3 resources not in or adjacent to your home system.,Status,Status
Take Influential Strongholds,Have a structure on each of 3 planets with at least 3 influence.,Have a structure on each of 3 planets with at least 3 influence not in or adjacent to your home system.,Status,Status
Master Negotiation,Have at least 10 promissory notes in your hand.,Have at least 15 promissory notes in your hand.,Status,Status
Heavy Artillery,"Have a 12 units on the game board with any combination of BOMBARDMENT, SPACE CANNON, or ANTI-FIGHTER BARRAGE.","Have a 12 units on the game board with any combination of BOMBARDMENT, SPACE CANNON, or ANTI-FIGHTER BARRAGE not in or adjacent to your home system.",Status,Status
Diversify Holdings,"Control 2 cultural, industrial, and hazardous planets.","Control 4 cultural, industrial, and hazardous planets.",Status,Status
Strategic Encroachment,Control a planet adjacent to another player's home system that has an attachment.,Control 2 planets with attachments adjacent to other players' home systems.,Status,Status
Technological Exhaustion,Exhaust 3 of your technologies that have an exhaust ability.,Exhaust 5 of your technologies that have an exhaust ability.,Status,Status
Attain Resource Supremacy,Control 4 planets outside your home system with more resources than influence.,Control 6 planets outside your home system with more resources than influence.,Status,Status
Achieve Supreme Influence,Control 4 planets outside your home system with more influence than resources.,Control 6 planets outside your home system with more influence than resources.,Status,Status
Tactical Fatigue,"Have at least 5 exhausted non-planet, non-strategy cards in your play area.","Have at least 7 exhausted non-planet, non-strategy cards in your play area.",Status,Status
Selective Arsenal,Have none of 2 different unit types in your reinforcements for which at least 1 of your neighbors owns the unit upgrade technology.,Have none of 4 different unit types in your reinforcements for which at least 1 of your neighbors owns the unit upgrade technology.,Status,Status
Tactical Command,Have a command token in each of 3 systems adjacent to other player's planets and that contains 1 of your ships.,Have a command token in each of 6 systems adjacent to other player's planets and that contains 1 of your ships.,Status,Status
Execute Traitor,Purge a leader from your play area.,Purge your agent and commander. You cannot score this objective if you have already scored another secret objective.,Status,Status
Master Their Culture,Meet the conditions to unlock another player's commander and have your commander unlocked.,Meet the conditions to unlock another player's commander while you control their home system.,Status,Status
Generous Diplomat,Give 2 promissory notes to a neighbor and 1 promissory note to a different neighbor.,Give 2 promissory notes to a player whose home system you control and 1 promissory note to a different player to whose home system you have a ship in or adjacent.,Status,Status
Suffer Slings and Arrows,Have 3 damaged units at the end of a combat you won.,Have 8 damaged non-cruiser units on the game board.,Action,Status
Dock Assault,Win a combat in a system that contained a space dock at the start of the combat.,Have a space dock in a system that contains another player's space dock.,Action,Status
Prove Eagerness,Be the first to pass.,Have more of your command tokens on your command sheet than 2 players that are your neighbor combined.,Action,Status
Target Powerful Ships,Destroy 2 of your opponents units with SUSTAIN DAMAGE in the same round of combat.,Have more non-cruiser units with SUSTAIN DAMAGE on the game than 2 players that are your neighbor combined.,Action,Status
Structure Dominance,Win a combat against a player that has the most structures on the board than any other player.,Control a planet in the home system of another player that has more structures on the game board than any other player.,Action,Status
Toppling the Leader,"Win a combat against a player with the highest initiative in a home system, system that contains Mecatol Rex, or a system that contains a legendary planet.",Control the a planet in the home system of another player that has the highest initative.,Action,Status
Hamper Bureaucracy,There are at least 7 agendas in the discard pile.,There are at least 11 agendas in the discard pile.,Agenda,Agenda
Diversify Fleets,Have 5 different types of non-fighter ships in a system.,Have at least 4 different types of non-fighter ships in each of 3 systems that are not in or adjacent to your home system.,Status,Status
Develop Weaponry,Own unit upgrade technologies with combined prerequisites that include each color.,Own unit upgrade technologies whose combined prerequisites have at least 2 of each color.,Status,Status
Contain Their Culture,Gain control of another player's highest influence planet.,Control other player's home system planets with a combine influence value of at least 3.,Action,Status
Cripple Their Economy,Gain control of another player's highest resource planet.,Control other player's home system planets with a combine resource value of at least 3.,Action,Status
Check and Balance,Win a combat against the speaker.,Control a planet in the home system of another player with the speaker token.,Action,Status
Surprise Your Enemies,Win a combat against a player who has passed.,Purge 2 other secret objectives from your hand.,Action,Status
Peacefully Transition Power,Gain control of another player's planet that did not contain any units at the start of this action.,Choose 4 planets you control that contain no units. Choose a player to gain control of each planet.,Action,Status
Spare No Munitions,"After your opponent assigns hits, have 3 hits left unassigned.",Have 8 non-fighter ships in other players' home systems.,Action,Status
Domineer,Have ships in 4 systems that contain a PDS.,Have ships in 8 systems that contain a PDS.,Status,Status
Learn from Others,Fulfill the requirements to score 2 secret objectives other players have scored.,Fulfill the requirements to score 4 secret objectives other players have scored.,Status,Status
Support the Weak,Have 1 of your promissory notes in the play area of a player with the least victory points.,Have 1 of your promissory notes in the play area of a player with the least victory points and control a planet in that player's home system.,Status,Status
Build a Wonder,Have 3 structures in a non-home system.,Have 5 structures in a non-home system.,Status,Status
Galvanize the People,Exhaust 1 planet of each trait.,Exhaust 2 planets of each trait.,Status,Status
Leverage Soft Power,Have 2 or less promissory notes in your hand.,Have no promissory notes in your hand.,Status,Status
Form the Heart of a New Empire,Control a planet in a system that is adjacent to 6 systems that contain your units.,Control a planet in each of 2 systems that are each adjacent to 6 systems that contain your units.,Status,Status
Form a Contact Network,Control 5 planets outside of your home system that each have an influence value of 2 or higher.,Control 9 planets outside of your home system that each have an influence value of 2 or higher.,Status,Status
Gather Abundance,Control 5 planets outside of your home system that each have a resource value of 2 or higher.,Control 9 planets outside of your home system that each have a resource value of 2 or higher.,Status,Status
Dominate Cities,Have non-fighter ships in 5 systems that contain a structure.,Have non-fighter ships in 9 systems that contain a structure.,Status,Status
Connect The Cosmos,Have a unit in each of 2 different systems that contain a wormhole of the same type.,Have a unit in each system that contains a wormhole of the same type.,Status,Status
Make Backroom Deals,Make a binding deal with another player in which they cast at least 10 votes for an agreed upon outcome.,Have a promissory note in your player area of a player that owns at least 2 elect player laws.,Agenda,Status
